username,date,hms,post_num,num_likes
DiplomaticTies,"Jan 5, 2019",1:27 PM,9600295,
SplurgeFrugal,"Jan 5, 2019",3:08 PM,9600410,7.0
9thsymph,"Jan 5, 2019",3:21 PM,9600421,
gavrarabba,"Jan 5, 2019",3:58 PM,9600461,24.0
1st Step,"Jan 5, 2019",6:29 PM,9600595,
1st Step,"Jan 5, 2019",9:42 PM,9600743,10.0
An Acute Style,"Jan 6, 2019",8:40 AM,9601052,19.0
Houta,"Jan 6, 2019",1:03 PM,9601384,
sugarbutch,"Jan 6, 2019",1:09 PM,9601388,7.0
An Acute Style,"Jan 6, 2019",5:32 PM,9601627,
blekit,"Jan 6, 2019",10:51 PM,9601854,24.0
sugarbutch,"Jan 7, 2019",12:50 AM,9601887,
upr_crust,"Jan 7, 2019",4:34 AM,9601958,29.0
An Acute Style,"Jan 7, 2019",5:38 AM,9602000,
An Acute Style,"Jan 7, 2019",5:40 AM,9602003,20.0
txm22,"Jan 7, 2019",5:43 AM,9602007,9.0
Roy Al,"Jan 7, 2019",6:04 AM,9602035,13.0
Mr Knightley,"Jan 7, 2019",7:28 AM,9602154,25.0
Eli Curt,"Jan 7, 2019",9:37 AM,9602361,
Eli Curt,"Jan 7, 2019",9:38 AM,9602364,
Caustic Man,"Jan 7, 2019",10:37 AM,9602417,13.0
Michael81,"Jan 7, 2019",10:56 AM,9602444,34.0
Substanceoverstyle,"Jan 7, 2019",11:27 AM,9602482,
RickyTakhar,"Jan 7, 2019",11:30 AM,9602486,
AJL,"Jan 7, 2019",12:22 PM,9602555,
Eli Curt,"Jan 7, 2019",12:23 PM,9602558,
An Acute Style,"Jan 7, 2019",1:15 PM,9602634,
Eli Curt,"Jan 7, 2019",1:30 PM,9602651,
jcmeyer,"Jan 7, 2019",1:39 PM,9602654,
Michael81,"Jan 7, 2019",1:47 PM,9602661,
Caustic Man,"Jan 7, 2019",2:35 PM,9602719,
Michael81,"Jan 7, 2019",2:47 PM,9602739,5.0
jcmeyer,"Jan 7, 2019",3:03 PM,9602762,6.0
SprezzaTrash,"Jan 7, 2019",3:32 PM,9602791,16.0
Caustic Man,"Jan 7, 2019",3:32 PM,9602793,
shirtsnob,"Jan 7, 2019",3:35 PM,9602797,
Alan Bee,"Jan 7, 2019",6:08 PM,9602978,5.0
Thin White Duke,"Jan 7, 2019",6:34 PM,9603007,
Caustic Man,"Jan 7, 2019",6:55 PM,9603052,
SplurgeFrugal,"Jan 7, 2019",7:27 PM,9603100,
An Acute Style,"Jan 7, 2019",8:02 PM,9603143,6.0
Blake Stitched Blues,"Jan 7, 2019",8:26 PM,9603174,
lordsuperb,"Jan 7, 2019",8:41 PM,9603195,6.0
Alan Bee,"Jan 7, 2019",8:49 PM,9603202,
Alan Bee,"Jan 7, 2019",8:53 PM,9603205,
hoodog,"Jan 7, 2019",10:31 PM,9603257,
Michael81,"Jan 7, 2019",11:21 PM,9603274,
Michael81,"Jan 7, 2019",11:31 PM,9603278,
Alan Bee,"Jan 8, 2019",12:13 AM,9603291,
Michael81,"Jan 8, 2019",12:17 AM,9603294,5.0
Alan Bee,"Jan 8, 2019",12:52 AM,9603302,
Michael81,"Jan 8, 2019",12:55 AM,9603304,5.0
Blake Stitched Blues,"Jan 8, 2019",12:57 AM,9603305,8.0
Alan Bee,"Jan 8, 2019",1:04 AM,9603307,
Alan Bee,"Jan 8, 2019",1:09 AM,9603308,
Blake Stitched Blues,"Jan 8, 2019",1:37 AM,9603315,
Substanceoverstyle,"Jan 8, 2019",1:38 AM,9603316,
Michael81,"Jan 8, 2019",1:38 AM,9603317,
am55,"Jan 8, 2019",1:45 AM,9603321,6.0
Clouseau,"Jan 8, 2019",1:47 AM,9603323,
am55,"Jan 8, 2019",1:51 AM,9603324,
Michael81,"Jan 8, 2019",1:52 AM,9603325,
am55,"Jan 8, 2019",2:01 AM,9603327,
Michael81,"Jan 8, 2019",2:20 AM,9603331,5.0
Blake Stitched Blues,"Jan 8, 2019",2:28 AM,9603332,
am55,"Jan 8, 2019",2:30 AM,9603333,
Michael81,"Jan 8, 2019",2:33 AM,9603334,
am55,"Jan 8, 2019",2:40 AM,9603336,
Alan Bee,"Jan 8, 2019",3:09 AM,9603343,
am55,"Jan 8, 2019",3:13 AM,9603344,
Alan Bee,"Jan 8, 2019",3:16 AM,9603347,
Michael81,"Jan 8, 2019",3:17 AM,9603348,
am55,"Jan 8, 2019",3:21 AM,9603350,
Alan Bee,"Jan 8, 2019",3:22 AM,9603351,
Michael81,"Jan 8, 2019",3:27 AM,9603354,
Alan Bee,"Jan 8, 2019",3:33 AM,9603357,
Michael81,"Jan 8, 2019",3:41 AM,9603361,
Alan Bee,"Jan 8, 2019",3:55 AM,9603373,
Eli Curt,"Jan 8, 2019",4:08 AM,9603381,
Houta,"Jan 8, 2019",4:19 AM,9603390,
am55,"Jan 8, 2019",4:50 AM,9603413,8.0
Alan Bee,"Jan 8, 2019",6:09 AM,9603474,
AJL,"Jan 8, 2019",6:19 AM,9603486,
Clouseau,"Jan 8, 2019",6:26 AM,9603492,
Claghorn,"Jan 8, 2019",6:32 AM,9603497,40.0
Alan Bee,"Jan 8, 2019",6:43 AM,9603503,
Clouseau,"Jan 8, 2019",6:47 AM,9603506,
Roy Al,"Jan 8, 2019",7:01 AM,9603529,17.0
themanfromLisbon,"Jan 8, 2019",8:06 AM,9603620,
themanfromLisbon,"Jan 8, 2019",8:08 AM,9603622,
themanfromLisbon,"Jan 8, 2019",8:27 AM,9603655,
themanfromLisbon,"Jan 8, 2019",8:44 AM,9603679,16.0
Mr. Six,"Jan 8, 2019",9:01 AM,9603706,24.0
lordsuperb,"Jan 8, 2019",9:06 AM,9603712,
Purplelabel,"Jan 8, 2019",9:11 AM,9603721,
Mr. Six,"Jan 8, 2019",9:15 AM,9603725,10.0
dalevy,"Jan 8, 2019",9:31 AM,9603751,5.0
Houta,"Jan 8, 2019",10:51 AM,9603858,
Mr. Six,"Jan 8, 2019",11:06 AM,9603879,
sugarbutch,"Jan 8, 2019",12:05 PM,9603961,
Mr. Six,"Jan 8, 2019",12:18 PM,9603978,
Marc Voorhees,"Jan 8, 2019",12:30 PM,9603998,5.0
Aloysius16,"Jan 8, 2019",1:12 PM,9604071,
SplurgeFrugal,"Jan 8, 2019",1:29 PM,9604099,
dalevy,"Jan 8, 2019",1:33 PM,9604108,6.0
am55,"Jan 8, 2019",1:39 PM,9604113,
themanfromLisbon,"Jan 8, 2019",2:19 PM,9604178,
NycLondon,"Jan 8, 2019",2:37 PM,9604196,
NycLondon,"Jan 8, 2019",2:47 PM,9604212,
gavrarabba,"Jan 8, 2019",3:40 PM,9604295,9.0
upr_crust,"Jan 8, 2019",5:36 PM,9604473,
1st Step,"Jan 8, 2019",6:51 PM,9604610,5.0
1st Step,"Jan 8, 2019",6:52 PM,9604614,
hoodog,"Jan 8, 2019",10:23 PM,9604806,
upr_crust,"Jan 9, 2019",4:37 AM,9604901,21.0
gavrarabba,"Jan 9, 2019",5:51 AM,9604953,8.0
Michael81,"Jan 9, 2019",6:52 AM,9605018,
lordsuperb,"Jan 9, 2019",7:12 AM,9605044,
Michael81,"Jan 9, 2019",7:24 AM,9605049,
Eli Curt,"Jan 9, 2019",7:49 AM,9605078,
Michael81,"Jan 9, 2019",8:02 AM,9605093,
Roy Al,"Jan 9, 2019",8:09 AM,9605101,9.0
Betelgeuse,"Jan 9, 2019",8:29 AM,9605121,35.0
sugarbutch,"Jan 9, 2019",10:07 AM,9605309,
hoodog,"Jan 9, 2019",11:06 AM,9605408,
DiplomaticTies,"Jan 9, 2019",11:49 AM,9605462,25.0
shirtsnob,"Jan 9, 2019",1:44 PM,9605636,
shirtsnob,"Jan 9, 2019",1:49 PM,9605640,
Michael81,"Jan 9, 2019",1:51 PM,9605644,5.0
aj805,"Jan 9, 2019",2:02 PM,9605652,
Patrick R,"Jan 9, 2019",2:56 PM,9605736,35.0
Roycru,"Jan 9, 2019",3:13 PM,9605761,15.0
upr_crust,"Jan 9, 2019",3:18 PM,9605772,
shirtsnob,"Jan 9, 2019",3:41 PM,9605804,
themanfromLisbon,"Jan 9, 2019",3:43 PM,9605805,20.0
themanfromLisbon,"Jan 9, 2019",4:04 PM,9605831,
Alocin,"Jan 9, 2019",4:25 PM,9605864,14.0
SplurgeFrugal,"Jan 9, 2019",5:10 PM,9605925,
Epicure,"Jan 9, 2019",5:29 PM,9605950,
1st Step,"Jan 9, 2019",5:31 PM,9605954,12.0
othertravel,"Jan 9, 2019",6:06 PM,9606008,
Alan Bee,"Jan 9, 2019",10:37 PM,9606263,
Michael81,"Jan 9, 2019",10:58 PM,9606272,
am55,"Jan 9, 2019",11:04 PM,9606275,
Michael81,"Jan 9, 2019",11:19 PM,9606280,
hoodog,"Jan 9, 2019",11:38 PM,9606291,
Patrick R,"Jan 9, 2019",11:40 PM,9606292,6.0
blekit,"Jan 10, 2019",12:00 AM,9606299,13.0
Alan Bee,"Jan 10, 2019",12:09 AM,9606303,
Alan Bee,"Jan 10, 2019",12:17 AM,9606307,
Michael81,"Jan 10, 2019",12:25 AM,9606312,
Blake Stitched Blues,"Jan 10, 2019",12:37 AM,9606315,10.0
Alan Bee,"Jan 10, 2019",12:37 AM,9606316,
hoodog,"Jan 10, 2019",12:37 AM,9606317,
Alan Bee,"Jan 10, 2019",12:42 AM,9606320,
Alan Bee,"Jan 10, 2019",12:45 AM,9606323,
am55,"Jan 10, 2019",12:47 AM,9606325,
Michael81,"Jan 10, 2019",12:48 AM,9606326,
Alan Bee,"Jan 10, 2019",12:55 AM,9606327,
Michael81,"Jan 10, 2019",12:57 AM,9606328,
hoodog,"Jan 10, 2019",12:58 AM,9606329,
hoodog,"Jan 10, 2019",12:58 AM,9606330,
Alan Bee,"Jan 10, 2019",1:11 AM,9606336,
g3org3y,"Jan 10, 2019",1:15 AM,9606337,
am55,"Jan 10, 2019",1:52 AM,9606346,
Alan Bee,"Jan 10, 2019",2:02 AM,9606353,
Michael81,"Jan 10, 2019",2:03 AM,9606354,
Michael81,"Jan 10, 2019",2:04 AM,9606355,
am55,"Jan 10, 2019",2:16 AM,9606359,
Alan Bee,"Jan 10, 2019",2:16 AM,9606360,
hoodog,"Jan 10, 2019",2:27 AM,9606363,
Alan Bee,"Jan 10, 2019",2:32 AM,9606365,
Michael81,"Jan 10, 2019",2:35 AM,9606367,
hoodog,"Jan 10, 2019",2:35 AM,9606368,
Alan Bee,"Jan 10, 2019",2:56 AM,9606375,
Michael81,"Jan 10, 2019",2:59 AM,9606376,
mcobinad,"Jan 10, 2019",3:04 AM,9606380,37.0
upr_crust,"Jan 10, 2019",4:45 AM,9606430,25.0
Caustic Man,"Jan 10, 2019",4:59 AM,9606438,7.0
Thrift Vader,"Jan 10, 2019",5:28 AM,9606463,
gavrarabba,"Jan 10, 2019",6:18 AM,9606524,10.0
othertravel,"Jan 10, 2019",6:20 AM,9606528,
Michael81,"Jan 10, 2019",6:20 AM,9606529,
Thrift Vader,"Jan 10, 2019",6:24 AM,9606532,
Ebichuman,"Jan 10, 2019",6:25 AM,9606535,6.0
Claghorn,"Jan 10, 2019",6:31 AM,9606549,34.0
Thrift Vader,"Jan 10, 2019",6:32 AM,9606552,
SplurgeFrugal,"Jan 10, 2019",6:33 AM,9606553,15.0
gavrarabba,"Jan 10, 2019",6:35 AM,9606557,6.0
Patrick R,"Jan 10, 2019",6:38 AM,9606561,9.0
gavrarabba,"Jan 10, 2019",6:39 AM,9606565,
Claghorn,"Jan 10, 2019",6:40 AM,9606570,6.0
Ebichuman,"Jan 10, 2019",6:51 AM,9606593,
Michael81,"Jan 10, 2019",7:00 AM,9606605,
Roy Al,"Jan 10, 2019",7:10 AM,9606617,19.0
Alan Bee,"Jan 10, 2019",8:09 AM,9606710,10.0
Houta,"Jan 10, 2019",8:16 AM,9606722,
Markus W,"Jan 10, 2019",8:40 AM,9606768,17.0
Michael81,"Jan 10, 2019",9:22 AM,9606852,
chocsosa,"Jan 10, 2019",9:57 AM,9606909,
jcmeyer,"Jan 10, 2019",10:23 AM,9606945,
Michael81,"Jan 10, 2019",10:29 AM,9606954,
gavrarabba,"Jan 10, 2019",10:34 AM,9606966,
jcmeyer,"Jan 10, 2019",10:52 AM,9607000,
Michael81,"Jan 10, 2019",11:03 AM,9607022,
gavrarabba,"Jan 10, 2019",11:35 AM,9607093,
Mr. Six,"Jan 10, 2019",11:36 AM,9607095,32.0
jcmeyer,"Jan 10, 2019",11:54 AM,9607120,
Smittypn,"Jan 10, 2019",3:08 PM,9607440,
An Acute Style,"Jan 10, 2019",3:11 PM,9607445,6.0
An Acute Style,"Jan 10, 2019",3:46 PM,9607509,12.0
am55,"Jan 10, 2019",3:54 PM,9607523,
mcobinad,"Jan 10, 2019",4:16 PM,9607548,
Blake Stitched Blues,"Jan 10, 2019",4:30 PM,9607572,7.0
mcobinad,"Jan 10, 2019",4:33 PM,9607576,
steveabdn,"Jan 10, 2019",5:06 PM,9607631,
Claghorn,"Jan 10, 2019",5:26 PM,9607656,
An Acute Style,"Jan 10, 2019",6:00 PM,9607708,
am55,"Jan 10, 2019",6:27 PM,9607744,
khughes44,"Jan 10, 2019",7:49 PM,9607866,
Maximus Rex,"Jan 10, 2019",8:05 PM,9607889,
Gerry Nelson,"Jan 10, 2019",10:09 PM,9608006,28.0
Thomson,"Jan 10, 2019",10:33 PM,9608028,
mcobinad,"Jan 10, 2019",11:15 PM,9608055,
Alan Bee,"Jan 11, 2019",12:09 AM,9608076,
Alan Bee,"Jan 11, 2019",12:24 AM,9608083,6.0
blekit,"Jan 11, 2019",12:45 AM,9608095,13.0
