username,date,hms,post_num,num_likes
Thrift Vader,"Jan 1, 2018",7:58 AM,9147325,
FrankCowperwood,"Jan 1, 2018",8:43 AM,9147371,
KamoteJoe,"Jan 1, 2018",9:14 AM,9147414,41.0
MeatFish,"Jan 1, 2018",9:58 AM,9147451,
FireM,"Jan 1, 2018",10:12 AM,9147461,40.0
#dadcore,"Jan 1, 2018",11:21 AM,9147521,7.0
colabear,"Jan 1, 2018",1:23 PM,9147653,5.0
flipstah,"Jan 1, 2018",1:29 PM,9147658,
Melbush,"Jan 1, 2018",4:32 PM,9147824,
FrankCowperwood,"Jan 1, 2018",4:38 PM,9147830,
RegisDB9,"Jan 1, 2018",6:14 PM,9147931,25.0
Benesyed,"Jan 1, 2018",7:15 PM,9147998,8.0
colabear,"Jan 1, 2018",8:39 PM,9148075,
OccultaVexillum,"Jan 2, 2018",7:21 AM,9148345,
Benesyed,"Jan 2, 2018",7:23 AM,9148350,
OccultaVexillum,"Jan 2, 2018",7:45 AM,9148370,
Benesyed,"Jan 2, 2018",8:06 AM,9148391,
sugarbutch,"Jan 2, 2018",8:17 AM,9148413,
Benesyed,"Jan 2, 2018",8:19 AM,9148415,
OccultaVexillum,"Jan 2, 2018",8:26 AM,9148421,6.0
nahneun,"Jan 2, 2018",8:47 AM,9148444,
OccultaVexillum,"Jan 2, 2018",8:48 AM,9148450,
ethanm,"Jan 2, 2018",8:49 AM,9148454,
nahneun,"Jan 2, 2018",8:50 AM,9148456,
FrankCowperwood,"Jan 2, 2018",12:28 PM,9148737,
Thrift Vader,"Jan 2, 2018",12:30 PM,9148739,
Spehsmonkey,"Jan 2, 2018",1:18 PM,9148802,21.0
falgfalg,"Jan 2, 2018",2:31 PM,9148902,6.0
jet,"Jan 2, 2018",2:35 PM,9148907,
e0d9n0b5,"Jan 2, 2018",2:51 PM,9148930,46.0
nahneun,"Jan 2, 2018",2:53 PM,9148935,
Cotton Dockers,"Jan 2, 2018",3:00 PM,9148946,30.0
e0d9n0b5,"Jan 2, 2018",3:00 PM,9148948,16.0
nahneun,"Jan 2, 2018",3:03 PM,9148954,14.0
rockascout,"Jan 2, 2018",3:14 PM,9148976,11.0
KamoteJoe,"Jan 2, 2018",3:39 PM,9149014,46.0
Spehsmonkey,"Jan 2, 2018",4:21 PM,9149057,
Dr Huh?,"Jan 2, 2018",4:50 PM,9149092,
penanceroyaltea,"Jan 2, 2018",7:47 PM,9149317,
jet,"Jan 2, 2018",7:52 PM,9149322,
Spehsmonkey,"Jan 2, 2018",8:16 PM,9149346,
penanceroyaltea,"Jan 2, 2018",8:40 PM,9149367,
Spehsmonkey,"Jan 2, 2018",9:01 PM,9149385,
in stitches,"Jan 2, 2018",9:04 PM,9149389,
gettoasty,"Jan 2, 2018",9:52 PM,9149431,
GT-R,"Jan 2, 2018",10:01 PM,9149440,
penanceroyaltea,"Jan 2, 2018",10:22 PM,9149457,
Thrift Vader,"Jan 2, 2018",11:12 PM,9149485,
ChetB,"Jan 2, 2018",11:18 PM,9149487,
nahneun,"Jan 3, 2018",4:26 AM,9149611,
in stitches,"Jan 3, 2018",6:14 AM,9149683,
nahneun,"Jan 3, 2018",7:08 AM,9149748,
kindofyoung,"Jan 3, 2018",7:14 AM,9149762,29.0
nahneun,"Jan 3, 2018",7:15 AM,9149766,
in stitches,"Jan 3, 2018",7:34 AM,9149793,
NGOStudio,"Jan 3, 2018",7:54 AM,9149829,
Rais,"Jan 3, 2018",8:04 AM,9149844,32.0
verver,"Jan 3, 2018",8:43 AM,9149897,
FrankCowperwood,"Jan 3, 2018",8:57 AM,9149929,
Slin,"Jan 3, 2018",9:00 AM,9149933,
KamoteJoe,"Jan 3, 2018",9:32 AM,9149995,42.0
EFV,"Jan 3, 2018",9:34 AM,9150002,35.0
nahneun,"Jan 3, 2018",9:40 AM,9150017,5.0
FrankCowperwood,"Jan 3, 2018",10:22 AM,9150111,17.0
kindofyoung,"Jan 3, 2018",11:17 AM,9150209,
EFV,"Jan 3, 2018",1:22 PM,9150423,10.0
in stitches,"Jan 3, 2018",3:52 PM,9150665,
RegisDB9,"Jan 3, 2018",4:16 PM,9150710,60.0
Benesyed,"Jan 3, 2018",4:39 PM,9150739,
saurabh,"Jan 4, 2018",12:14 AM,9151254,17.0
trichomatic,"Jan 4, 2018",7:25 AM,9151552,60.0
kindofyoung,"Jan 4, 2018",9:56 AM,9151761,47.0
Darkside,"Jan 4, 2018",10:04 AM,9151772,21.0
