username,date,hms,post_num,num_likes
Benesyed,"Jan 7, 2019",11:52 AM,9602512,6.0
A Fellow Linguist,"Jan 7, 2019",12:21 PM,9602554,6.0
the shah,"Jan 7, 2019",12:28 PM,9602564,
Benesyed,"Jan 7, 2019",12:33 PM,9602571,
jet,"Jan 7, 2019",12:39 PM,9602576,
Benesyed,"Jan 7, 2019",12:41 PM,9602580,
el Bert,"Jan 7, 2019",4:02 PM,9602820,56.0
MGoCrimson,"Jan 7, 2019",4:09 PM,9602824,
navetsea,"Jan 7, 2019",4:23 PM,9602842,
KamoteJoe,"Jan 7, 2019",4:30 PM,9602851,
el Bert,"Jan 7, 2019",5:02 PM,9602891,
FrankCowperwood,"Jan 7, 2019",5:53 PM,9602961,
Benesyed,"Jan 7, 2019",8:10 PM,9603151,15.0
g transistor,"Jan 7, 2019",8:33 PM,9603183,
Benesyed,"Jan 7, 2019",8:36 PM,9603188,
Benesyed,"Jan 7, 2019",8:48 PM,9603201,
e0d9n0b5,"Jan 7, 2019",9:01 PM,9603214,
penanceroyaltea,"Jan 7, 2019",11:23 PM,9603275,
itsPronouncedSteven,"Jan 7, 2019",11:57 PM,9603285,43.0
baltimoron,"Jan 8, 2019",6:25 AM,9603491,54.0
nahneun,"Jan 8, 2019",6:28 AM,9603493,
AJL,"Jan 8, 2019",6:34 AM,9603499,
MGoCrimson,"Jan 8, 2019",6:50 AM,9603511,
g transistor,"Jan 8, 2019",6:53 AM,9603512,12.0
baltimoron,"Jan 8, 2019",6:56 AM,9603520,
dieworkwear,"Jan 8, 2019",10:12 AM,9603811,18.0
itsPronouncedSteven,"Jan 8, 2019",10:21 AM,9603823,
colabear,"Jan 8, 2019",2:41 PM,9604203,9.0
FrankCowperwood,"Jan 8, 2019",4:24 PM,9604365,
colabear,"Jan 8, 2019",5:00 PM,9604421,
hendrix,"Jan 8, 2019",6:41 PM,9604592,13.0
penanceroyaltea,"Jan 8, 2019",6:50 PM,9604608,
baltimoron,"Jan 8, 2019",8:07 PM,9604697,
RegisDB9,"Jan 8, 2019",8:35 PM,9604733,30.0
cocostella,"Jan 9, 2019",9:15 AM,9605215,
mmmargeologist,"Jan 9, 2019",10:00 AM,9605299,
RegisDB9,"Jan 9, 2019",1:59 PM,9605649,
Benesyed,"Jan 9, 2019",7:02 PM,9606093,
Homme,"Jan 10, 2019",6:16 AM,9606521,52.0
faue,"Jan 10, 2019",6:39 AM,9606566,17.0
MaiLam,"Jan 10, 2019",6:41 AM,9606573,
cyc wid it,"Jan 10, 2019",8:56 AM,9606803,26.0
Benesyed,"Jan 10, 2019",9:46 AM,9606889,28.0
Fredrik E. Nilsen,"Jan 10, 2019",1:56 PM,9607320,6.0
MGoCrimson,"Jan 10, 2019",2:11 PM,9607350,
Benesyed,"Jan 10, 2019",2:12 PM,9607352,
faue,"Jan 10, 2019",3:42 PM,9607502,
MGoCrimson,"Jan 10, 2019",4:28 PM,9607570,
faue,"Jan 10, 2019",4:41 PM,9607589,
colabear,"Jan 10, 2019",5:05 PM,9607629,
RegisDB9,"Jan 10, 2019",6:38 PM,9607756,47.0
penanceroyaltea,"Jan 10, 2019",10:10 PM,9608007,
